,text
451,<|endoftext|>Convert a datetime object `dt` to microtime: time.mktime(dt.timetuple()) + dt.microsecond / 1000000.0<|endoftext|>
452,<|endoftext|>select all rows in dataframe `df` where the values of column 'columnX' is bigger than or equal to `x` and smaller than or equal to `y`: df[(x <= df['columnX']) & (df['columnX'] <= y)]<|endoftext|>
453,"<|endoftext|>sort a list of lists `L` by index 2 of the inner list: sorted(L, key=itemgetter(2))<|endoftext|>"
454,<|endoftext|>sort a list of lists `l` by index 2 of the inner list: l.sort(key=(lambda x: x[2]))<|endoftext|>
455,"<|endoftext|>sort list `l` by index 2 of the item: sorted(l, key=(lambda x: x[2]))<|endoftext|>"
456,"<|endoftext|>sort a list of lists `list_to_sort` by indices 2,0,1 of the inner list: sorted_list = sorted(list_to_sort, key=itemgetter(2, 0, 1))<|endoftext|>"
457,"<|endoftext|>find rows of 2d array in 3d numpy array 'arr' if the row has value '[[0, 3], [3, 0]]': np.argwhere(np.all(arr == [[0, 3], [3, 0]], axis=(1, 2)))<|endoftext|>"
458,"<|endoftext|>From multiIndexed dataframe `data` select columns `a` and `c` within each higher order column `one` and `two`: data.loc[:, (list(itertools.product(['one', 'two'], ['a', 'c'])))]<|endoftext|>"
459,"<|endoftext|>select only specific columns 'a' and 'c' from a dataframe 'data' with multiindex columns: data.loc[:, ([('one', 'a'), ('one', 'c'), ('two', 'a'), ('two', 'c')])]<|endoftext|>"
460,"<|endoftext|>match a sharp, followed by letters (including accent characters) in string `str1` using a regex: hashtags = re.findall('#(\\w+)', str1, re.UNICODE)<|endoftext|>"
461,"<|endoftext|>Rename file from `src` to `dst`: os.rename(src, dst)<|endoftext|>"
462,<|endoftext|>Get all texts and tags from a tag `strong` from etree tag `some_tag` using lxml: print(etree.tostring(some_tag.find('strong')))<|endoftext|>
463,"<|endoftext|>Serialize dictionary `data` and its keys to a JSON formatted string: json.dumps({str(k): v for k, v in data.items()})<|endoftext|>"
464,<|endoftext|>parse UTF-8 encoded HTML response `response` to BeautifulSoup object: soup = BeautifulSoup(response.read().decode('utf-8'))<|endoftext|>
465,<|endoftext|>delete file `filename`: os.remove(filename)<|endoftext|>
466,<|endoftext|>get the next value greatest to `2` from a list of numbers `num_list`: min([x for x in num_list if x > 2])<|endoftext|>
467,<|endoftext|>Replace each value in column 'prod_type' of dataframe `df` with string 'responsive': df['prod_type'] = 'responsive'<|endoftext|>
468,"<|endoftext|>sort list `lst` with positives coming before negatives with values sorted respectively: sorted(lst, key=lambda x: (x < 0, x))<|endoftext|>"
469,<|endoftext|>get the date 6 months from today: six_months = (date.today() + relativedelta(months=(+ 6)))<|endoftext|>
470,"<|endoftext|>get the date 1 month from today: (date(2010, 12, 31) + relativedelta(months=(+ 1)))<|endoftext|>"
471,"<|endoftext|>get the date 2 months from today: (date(2010, 12, 31) + relativedelta(months=(+ 2)))<|endoftext|>"
472,<|endoftext|>calculate the date six months from the current date: print((datetime.date.today() + datetime.timedelta(((6 * 365) / 12))).isoformat())<|endoftext|>
473,"<|endoftext|>get a list of keys of dictionary `things` sorted by the value of nested dictionary key 'weight': sorted(list(things.keys()), key=lambda x: things[x]['weight'], reverse=True)<|endoftext|>"
474,<|endoftext|>get all the values from a numpy array `a` excluding index 3: a[np.arange(len(a)) != 3]<|endoftext|>
475,<|endoftext|>delete all elements from a list `x` if a function `fn` taking value as parameter returns `0`: [x for x in lst if fn(x) != 0]<|endoftext|>
476,<|endoftext|>set dataframe `df` index using column 'month': df.set_index('month')<|endoftext|>
477,"<|endoftext|>read lines from a csv file `./urls-eu.csv` into a list of lists `arr`: arr = [line.split(',') for line in open('./urls-eu.csv')]<|endoftext|>"
478,<|endoftext|>list comprehension that produces integers between 11 and 19: [i for i in range(100) if i > 10 if i < 20]<|endoftext|>
479,"<|endoftext|>Get only digits from a string `strs`: """""""""""".join([c for c in strs if c.isdigit()])<|endoftext|>"
480,"<|endoftext|>split a string `yas` based on tab '\t': re.split('\\t+', yas.rstrip('\t'))<|endoftext|>"
481,<|endoftext|>scalar multiply matrix `a` by `b`: (a.T * b).T<|endoftext|>
482,"<|endoftext|>remove trailing newline in string ""test string\n"": 'test string\n'.rstrip()<|endoftext|>"
483,<|endoftext|>remove trailing newline in string 'test string \n\n': 'test string \n\n'.rstrip('\n')<|endoftext|>
484,<|endoftext|>remove newline in string `s`: s.strip()<|endoftext|>
485,<|endoftext|>remove newline in string `s` on the right side: s.rstrip()<|endoftext|>
486,<|endoftext|>remove newline in string `s` on the left side: s.lstrip()<|endoftext|>
487,<|endoftext|>remove newline in string 'Mac EOL\r': 'Mac EOL\r'.rstrip('\r\n')<|endoftext|>
488,<|endoftext|>remove newline in string 'Windows EOL\r\n' on the right side: 'Windows EOL\r\n'.rstrip('\r\n')<|endoftext|>
489,<|endoftext|>remove newline in string 'Unix EOL\n' on the right side: 'Unix EOL\n'.rstrip('\r\n')<|endoftext|>
490,"<|endoftext|>remove newline in string ""Hello\n\n\n"" on the right side: 'Hello\n\n\n'.rstrip('\n')<|endoftext|>"
491,"<|endoftext|>split string `text` into chunks of 16 characters each: re.findall('.{,16}\\b', text)<|endoftext|>"
492,<|endoftext|>Get a list comprehension in list of lists `X`: [[X[i][j] for j in range(len(X[i]))] for i in range(len(X))]<|endoftext|>
493,<|endoftext|>convert unicode string '\xd0\xbc\xd0\xb0\xd1\x80\xd0\xba\xd0\xb0' to byte string: '\xd0\xbc\xd0\xb0\xd1\x80\xd0\xba\xd0\xb0'.encode('latin-1')<|endoftext|>
494,<|endoftext|>split dataframe `df` where the value of column `a` is equal to 'B': df.groupby((df.a == 'B').shift(1).fillna(0).cumsum())<|endoftext|>
495,"<|endoftext|>save json output from a url ‘http://search.twitter.com/search.json?q=hi’ to file ‘hi.json’ in Python 2: urllib.request.urlretrieve('http://search.twitter.com/search.json?q=hi', 'hi.json')<|endoftext|>"
496,<|endoftext|>Find indices of elements equal to zero from numpy array `x`: numpy.where((x == 0))[0]<|endoftext|>
497,<|endoftext|>flush output of python print: sys.stdout.flush()<|endoftext|>
498,<|endoftext|>convert `i` to string: str(i)<|endoftext|>
499,<|endoftext|>convert `a` to string: a.__str__()<|endoftext|>
500,<|endoftext|>convert `a` to string: str(a)<|endoftext|>
501,<|endoftext|>sort list of lists `L` by the second item in each list: L.sort(key=operator.itemgetter(1))<|endoftext|>
502,<|endoftext|>Print variable `count` and variable `conv` with space string '    ' in between: print(str(count) + '    ' + str(conv))<|endoftext|>
503,"<|endoftext|>change NaN values in dataframe `df` using preceding values in the frame: df.fillna(method='ffill', inplace=True)<|endoftext|>"
504,<|endoftext|>change the state of the Tkinter `Text` widget to read only i.e. `disabled`: text.config(state=DISABLED)<|endoftext|>
505,"<|endoftext|>python sum of ascii values of all characters in a string `string`: sum(map(ord, string))<|endoftext|>"
506,<|endoftext|>apply itertools.product to elements of a list of lists `arrays`: list(itertools.product(*arrays))<|endoftext|>
507,"<|endoftext|>print number `value` as thousands separators: '{:,}'.format(value)<|endoftext|>"
508,"<|endoftext|>print number 1255000 as thousands separators: locale.setlocale(locale.LC_ALL, 'en_US')
locale.format('%d', 1255000, grouping=True)<|endoftext|>"
509,"<|endoftext|>get rows of dataframe `df` where column `Col1` has values `['men', 'rocks', 'mountains']`: df[df.Col1.isin(['men', 'rocks', 'mountains'])]<|endoftext|>"
510,<|endoftext|>get the value at index 1 for each tuple in the list of tuples `L`: [x[1] for x in L]<|endoftext|>
511,"<|endoftext|>split unicode string ""раз два три"" into words: '\u0440\u0430\u0437 \u0434\u0432\u0430 \u0442\u0440\u0438'.split()<|endoftext|>"
512,<|endoftext|>sort query set by number of characters in a field `length` in django model `MyModel`: MyModel.objects.extra(select={'length': 'Length(name)'}).order_by('length')<|endoftext|>
513,"<|endoftext|>get a dictionary in list `dicts` which key 'ratio' is closer to a global value 1.77672955975: min(dicts, key=lambda x: (abs(1.77672955975 - x['ratio']), -x['pixels']))<|endoftext|>"
514,<|endoftext|>get the non-masked values of array `m`: m[~m.mask]<|endoftext|>
515,"<|endoftext|>Find all words containing letters between A and Z in string `formula`: re.findall('\\b[A-Z]', formula)<|endoftext|>"
516,"<|endoftext|>create a list `matrix` containing 5 lists, each of 5 items  all set to 0: matrix = [([0] * 5) for i in range(5)]<|endoftext|>"
517,"<|endoftext|>creating a numpy array of 3d coordinates from three 1d arrays `x_p`, `y_p` and `z_p`: np.vstack(np.meshgrid(x_p, y_p, z_p)).reshape(3, -1).T<|endoftext|>"
518,<|endoftext|>find the minimum value in a numpy array `arr` excluding 0: arr[arr != 0].min()<|endoftext|>
519,"<|endoftext|>get the text of multiple elements found by xpath ""//*[@type='submit']/@value"": browser.find_elements_by_xpath(""//*[@type='submit']/@value"").text<|endoftext|>"
520,"<|endoftext|>find all the values in attribute `value` for the tags whose `type` attribute is `submit` in selenium: browser.find_elements_by_xpath(""//*[@type='submit']"").get_attribute('value')<|endoftext|>"
521,"<|endoftext|>parse a YAML file ""example.yaml"": with open('example.yaml', 'r') as stream:
    try:
        print((yaml.load(stream)))
    except yaml.YAMLError as exc:
        print(exc)<|endoftext|>"
522,"<|endoftext|>parse a YAML file ""example.yaml"": with open('example.yaml') as stream:
    try:
        print((yaml.load(stream)))
    except yaml.YAMLError as exc:
        print(exc)<|endoftext|>"
523,"<|endoftext|>Sort the values of the dataframe `df` and align the columns accordingly based on the obtained indices after np.argsort.: pd.DataFrame(df.columns[np.argsort(df.values)], df.index, np.unique(df.values))<|endoftext|>"
524,<|endoftext|>Getting today's date in YYYY-MM-DD: datetime.datetime.today().strftime('%Y-%m-%d')<|endoftext|>
525,<|endoftext|>urlencode a querystring 'string_of_characters_like_these:$#@=?%^Q^$' in python 2: urllib.parse.quote_plus('string_of_characters_like_these:$#@=?%^Q^$')<|endoftext|>
526,"<|endoftext|>sort a dictionary `d` by length of its values and print as string: print(' '.join(sorted(d, key=lambda k: len(d[k]), reverse=True)))<|endoftext|>"
527,"<|endoftext|>convert tuple elements in list `[(1,2),(3,4),(5,6),]` into lists: map(list, zip(*[(1, 2), (3, 4), (5, 6)]))<|endoftext|>"
530,"<|endoftext|>create a list of tuples which contains number 9 and the number before it, for each occurrence of 9 in the list 'myList': [(x, y) for x, y in zip(myList, myList[1:]) if y == 9]<|endoftext|>"
531,<|endoftext|>navigate to webpage given by url `http://www.python.org` using Selenium: driver.get('http://www.google.com.br')<|endoftext|>
532,<|endoftext|>reverse a UTF-8 string 'a': b = a.decode('utf8')[::-1].encode('utf8')<|endoftext|>
533,"<|endoftext|>extract date from a string 'monkey 2010-07-32 love banana': dparser.parse('monkey 2010-07-32 love banana', fuzzy=True)<|endoftext|>"
534,"<|endoftext|>extract date from a string 'monkey 20/01/1980 love banana': dparser.parse('monkey 20/01/1980 love banana', fuzzy=True)<|endoftext|>"
535,"<|endoftext|>extract date from a string `monkey 10/01/1980 love banana`: dparser.parse('monkey 10/01/1980 love banana', fuzzy=True)<|endoftext|>"
536,"<|endoftext|>Convert a list `['A:1', 'B:2', 'C:3', 'D:4']` to dictionary: dict(map(lambda s: s.split(':'), ['A:1', 'B:2', 'C:3', 'D:4']))<|endoftext|>"
537,"<|endoftext|>check if string `the_string` contains any upper or lower-case ASCII letters: re.search('[a-zA-Z]', the_string)<|endoftext|>"
538,"<|endoftext|>convert a pandas `df1` groupby object to dataframe: DataFrame({'count': df1.groupby(['Name', 'City']).size()}).reset_index()<|endoftext|>"
539,"<|endoftext|>remove all non-numeric characters from string `sdkjh987978asd098as0980a98sd `: re.sub('[^0-9]', '', 'sdkjh987978asd098as0980a98sd')<|endoftext|>"
540,<|endoftext|>get items from list `a` that don't appear in list `b`: [y for y in a if y not in b]<|endoftext|>
541,<|endoftext|>extract the first four rows of the column `ID` from a pandas dataframe `df`: df.groupby('ID').head(4)<|endoftext|>
542,<|endoftext|>Unzip a list of tuples `l` into a list of lists: zip(*l)<|endoftext|>
543,"<|endoftext|>combine two lists `[1, 2, 3, 4]` and `['a', 'b', 'c', 'd']` into a dictionary: dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))<|endoftext|>"
544,"<|endoftext|>combine two lists `[1, 2, 3, 4]` and `['a', 'b', 'c', 'd']` into a dictionary: dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))<|endoftext|>"
545,<|endoftext|>retrieve the path from a Flask request: request.url<|endoftext|>
546,"<|endoftext|>replace carriage return in string `somestring` with empty string '': somestring.replace('\\r', '')<|endoftext|>"
547,"<|endoftext|>serialize dictionary `d` as a JSON formatted string with each key formatted to pattern '%d,%d': simplejson.dumps(dict([('%d,%d' % k, v) for k, v in list(d.items())]))<|endoftext|>"
548,"<|endoftext|>parse string ""Jun 1 2005  1:33PM"" into datetime by format ""%b %d %Y %I:%M%p"": datetime.strptime('Jun 1 2005  1:33PM', '%b %d %Y %I:%M%p')<|endoftext|>"
549,"<|endoftext|>parse string ""Aug 28 1999 12:00AM"" into datetime: parser.parse('Aug 28 1999 12:00AM')<|endoftext|>"
550,<|endoftext|>Get absolute folder path and filename for file `existGDBPath `: os.path.split(os.path.abspath(existGDBPath))<|endoftext|>
551,<|endoftext|>extract folder path from file path: os.path.dirname(os.path.abspath(existGDBPath))<|endoftext|>
552,"<|endoftext|>Execute a post request to url `http://httpbin.org/post` with json data `{'test': 'cheers'}`: requests.post('http://httpbin.org/post', json={'test': 'cheers'})<|endoftext|>"
553,<|endoftext|>remove dictionary from list `a` if the value associated with its key 'link' is in list `b`: a = [x for x in a if x['link'] not in b]<|endoftext|>
554,<|endoftext|>get a request parameter `a` in jinja2: {{request.args.get('a')}}<|endoftext|>
555,"<|endoftext|>create a list of integers between 2 values `11` and `17`: list(range(11, 17))<|endoftext|>"
556,<|endoftext|>Change data type of data in column 'grade' of dataframe `data_df` into float and then to int: data_df['grade'] = data_df['grade'].astype(float).astype(int)<|endoftext|>
557,"<|endoftext|>Find the list in a list of lists `alkaline_earth_values` with the max value of the second element.: max(alkaline_earth_values, key=lambda x: x[1])<|endoftext|>"
558,<|endoftext|>remove leading and trailing zeros in the string 'your_Strip': your_string.strip('0')<|endoftext|>
559,"<|endoftext|>generate a list of all unique pairs of integers in `range(9)`: list(permutations(list(range(9)), 2))<|endoftext|>"
560,"<|endoftext|>create a regular expression that matches the pattern '^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)' over multiple lines of text: re.compile('^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)', re.MULTILINE)<|endoftext|>"
561,"<|endoftext|>regular expression ""^(.+)\\n((?:\\n.+)+)"" matching a multiline block of text: re.compile('^(.+)\\n((?:\\n.+)+)', re.MULTILINE)<|endoftext|>"
562,"<|endoftext|>Run 'test2.py' file with python location 'path/to/python' and arguments 'neededArgumetGoHere' as a subprocess: call(['path/to/python', 'test2.py', 'neededArgumetGoHere'])<|endoftext|>"
563,"<|endoftext|>sort a multidimensional list `a` by second and third column: a.sort(key=operator.itemgetter(2, 3))<|endoftext|>"
564,"<|endoftext|>Add a tuple with value `another_choice` to a tuple `my_choices`: final_choices = ((another_choice,) + my_choices)<|endoftext|>"
565,"<|endoftext|>Add a tuple with value `another_choice` to a tuple `my_choices`: final_choices = ((another_choice,) + my_choices)<|endoftext|>"
566,<|endoftext|>find the current directory: os.getcwd()<|endoftext|>
567,<|endoftext|>find the current directory: os.path.realpath(__file__)<|endoftext|>
568,<|endoftext|>get the directory name of `path`: os.path.dirname(path)<|endoftext|>
569,<|endoftext|>get the canonical path of file `path`: os.path.realpath(path)<|endoftext|>
570,<|endoftext|>Find name of current directory: dir_path = os.path.dirname(os.path.realpath(__file__))<|endoftext|>
571,<|endoftext|>Find current directory: cwd = os.getcwd()<|endoftext|>
572,<|endoftext|>Find the full path of current directory: full_path = os.path.realpath(__file__)<|endoftext|>
573,"<|endoftext|>sort array `arr` in ascending order by values of the 3rd column: arr[arr[:, (2)].argsort()]<|endoftext|>"
574,"<|endoftext|>sort rows of numpy matrix `arr` in ascending order according to all column values: numpy.sort(arr, axis=0)<|endoftext|>"
575,"<|endoftext|>split string 'a b.c' on space "" "" and dot character ""."": re.split('[ .]', 'a b.c')<|endoftext|>"
576,"<|endoftext|>copy the content of file 'file.txt' to file 'file2.txt': shutil.copy('file.txt', 'file2.txt')<|endoftext|>"
577,<|endoftext|>generate random upper-case ascii string of 12 characters length: print(''.join(choice(ascii_uppercase) for i in range(12)))<|endoftext|>
578,"<|endoftext|>merge the elements in a list `lst` sequentially: [''.join(seq) for seq in zip(lst, lst[1:])]<|endoftext|>"
579,"<|endoftext|>rename column 'gdp' in dataframe `data` to 'log(gdp)': data.rename(columns={'gdp': 'log(gdp)'}, inplace=True)<|endoftext|>"
580,<|endoftext|>convert a beautiful soup html `soup` to text: print(soup.get_text())<|endoftext|>
581,"<|endoftext|>Sort list `li` in descending order based on the second element of each list inside list`li`: sorted(li, key=operator.itemgetter(1), reverse=True)<|endoftext|>"
582,"<|endoftext|>replace value 0 with 'Female' and value 1 with 'Male' in column 'sex' of dataframe `data`: data['sex'].replace([0, 1], ['Female', 'Male'], inplace=True)<|endoftext|>"
583,"<|endoftext|>split string 'Words, words, words.' on punctuation: re.split('\\W+', 'Words, words, words.')<|endoftext|>"
584,"<|endoftext|>Extract first two substrings in string `phrase` that end in `.`, `?` or `!`: re.match('(.*?[.?!](?:\\s+.*?[.?!]){0,1})', phrase).group(1)<|endoftext|>"
585,"<|endoftext|>split string `s` into strings of repeating elements: print([a for a, b in re.findall('((\\w)\\2*)', s)])<|endoftext|>"
586,<|endoftext|>Create new string with unique characters from `s` seperated by ' ': print(' '.join(OrderedDict.fromkeys(s)))<|endoftext|>
587,<|endoftext|>create a set from string `s` to remove duplicate characters: print(' '.join(set(s)))<|endoftext|>
588,<|endoftext|>list folders in zip file 'file' that ends with '/': [x for x in file.namelist() if x.endswith('/')]<|endoftext|>
589,<|endoftext|>find the count of a word 'Hello' in a string `input_string`: input_string.count('Hello')<|endoftext|>
590,"<|endoftext|>reduce the first element of list of strings `data` to a string, separated by '.': print('.'.join([item[0] for item in data]))<|endoftext|>"
591,<|endoftext|>Move the cursor of file pointer `fh1` at the end of the file.: fh1.seek(2)<|endoftext|>
592,"<|endoftext|>convert a flat list into a list of tuples of every two items in the list, in order: print(zip(my_list[0::2], my_list[1::2]))<|endoftext|>"
593,"<|endoftext|>group a list of ints into a list of tuples of each 2 elements: my_new_list = zip(my_list[0::2], my_list[1::2])<|endoftext|>"
594,<|endoftext|>set the default encoding to 'utf-8': sys.setdefaultencoding('utf8')<|endoftext|>
595,<|endoftext|>Formate current date and time to a string using pattern '%Y-%m-%d %H:%M:%S': datetime.datetime.now().strftime('%Y-%m-%d %H:%M:%S')<|endoftext|>
596,"<|endoftext|>retrieve arabic texts from string `my_string`: print(re.findall('[\\u0600-\\u06FF]+', my_string))<|endoftext|>"
597,<|endoftext|>group dataframe `df` based on minute interval: df.groupby(df.index.map(lambda t: t.minute))<|endoftext|>
598,<|endoftext|>access value associated with key 'American' of key 'Apple' from dictionary `dict`: dict['Apple']['American']<|endoftext|>
599,"<|endoftext|>remove all null values from columns 'three', 'four' and 'five' of dataframe `df2`: df2.dropna(subset=['three', 'four', 'five'], how='all')<|endoftext|>"
600,"<|endoftext|>insert a list `k` at the front of list `a`: a.insert(0, k)<|endoftext|>"
601,<|endoftext|>insert elements of list `k` into list `a` at position `n`: a = a[:n] + k + a[n:]<|endoftext|>
602,<|endoftext|>calculate the mean of the nonzero values' indices of dataframe `df`: np.flatnonzero(x).mean()<|endoftext|>
603,<|endoftext|>get date from dataframe `df` column 'dates' to column 'just_date': df['just_date'] = df['dates'].dt.date<|endoftext|>
604,<|endoftext|>remove elements in list `b` from list `a`: [x for x in a if x not in b]<|endoftext|>
605,<|endoftext|>join elements of each tuple in list `a` into one string: [''.join(x) for x in a]<|endoftext|>
606,"<|endoftext|>join items of each tuple in list of tuples `a` into a list of strings: list(map(''.join, a))<|endoftext|>"
607,"<|endoftext|>match blank lines in `s` with regular expressions: re.split('\n\\s*\n', s)<|endoftext|>"
608,"<|endoftext|>merge a list of integers `[1, 2, 3, 4, 5]` into a single integer: from functools import reduce
reduce(lambda x, y: 10 * x + y, [1, 2, 3, 4, 5])<|endoftext|>"
609,"<|endoftext|>Convert float 24322.34 to comma-separated string: """"""{0:,.2f}"""""".format(24322.34)<|endoftext|>"
610,<|endoftext|>pass dictionary items `data` as keyword arguments in function `my_function`: my_function(**data)<|endoftext|>
611,<|endoftext|>get line count of file 'myfile.txt': sum((1 for line in open('myfile.txt')))<|endoftext|>
612,"<|endoftext|>get line count of file `filename`: def bufcount(filename):
    f = open(filename)
    lines = 0
    buf_size = (1024 * 1024)
    read_f = f.read
    buf = read_f(buf_size)
    while buf:
        lines += buf.count('\n')
        buf = read_f(buf_size)
    return lines<|endoftext|>"
613,"<|endoftext|>round 1123.456789 to be an integer: print(round(1123.456789, -1))<|endoftext|>"
614,"<|endoftext|>sort list `X` based on values from another list `Y`: [x for y, x in sorted(zip(Y, X))]<|endoftext|>"
615,"<|endoftext|>sorting list 'X' based on values from another list 'Y': [x for y, x in sorted(zip(Y, X))]<|endoftext|>"
616,"<|endoftext|>get equivalent week number from a date `2010/6/16` using  isocalendar: datetime.date(2010, 6, 16).isocalendar()[1]<|endoftext|>"
617,"<|endoftext|>select multiple ranges of columns 1-10, 15, 17, and 50-100 in pandas dataframe `df`: df.iloc[:, (np.r_[1:10, (15), (17), 50:100])]<|endoftext|>"
618,"<|endoftext|>apply two different aggregating functions `mean` and `sum` to the same column `dummy` in pandas data frame `df`: df.groupby('dummy').agg({'returns': [np.mean, np.sum]})<|endoftext|>"
619,<|endoftext|>convert string `s` to lowercase: s.lower()<|endoftext|>
620,<|endoftext|>convert utf-8 string `s` to lowercase: s.decode('utf-8').lower()<|endoftext|>
622,"<|endoftext|>handle the `urlfetch_errors ` exception for imaplib request to url `url`: urlfetch.fetch(url, deadline=10 * 60)<|endoftext|>"
623,<|endoftext|>output first 100 characters in a string `my_string`: print(my_string[0:100])<|endoftext|>
624,<|endoftext|>make matplotlib plot legend put marker in legend only once: legend(numpoints=1)<|endoftext|>
625,"<|endoftext|>get set intersection between dictionaries `d1` and `d2`: dict((x, set(y) & set(d1.get(x, ()))) for x, y in d2.items())<|endoftext|>"
626,"<|endoftext|>convert csv file 'test.csv' into two-dimensional matrix: numpy.loadtxt(open('test.csv', 'rb'), delimiter=',', skiprows=1)<|endoftext|>"
627,"<|endoftext|>filter the objects in django model 'Sample' between date range `2011-01-01` and `2011-01-31`: Sample.objects.filter(date__range=['2011-01-01', '2011-01-31'])<|endoftext|>"
628,"<|endoftext|>filter objects month wise in django model `Sample` for year `2011`: Sample.objects.filter(date__year='2011', date__month='01')<|endoftext|>"
629,"<|endoftext|>create a dictionary `{'spam': 5, 'ham': 6}` into another dictionary `d` field 'dict3': d['dict3'] = {'spam': 5, 'ham': 6}<|endoftext|>"
630,"<|endoftext|>apply `numpy.linalg.norm` to each row of a matrix `a`: numpy.apply_along_axis(numpy.linalg.norm, 1, a)<|endoftext|>"
631,"<|endoftext|>merge dictionaries form array `dicts` in a single expression: dict((k, v) for d in dicts for k, v in list(d.items()))<|endoftext|>"
632,<|endoftext|>Convert escaped utf string to utf string in `your string`: print('your string'.decode('string_escape'))<|endoftext|>
633,"<|endoftext|>counting the number of true booleans in a python list `[True, True, False, False, False, True]`: sum([True, True, False, False, False, True])<|endoftext|>"
634,"<|endoftext|>set the size of figure `fig` in inches to width height of `w`, `h`: fig.set_size_inches(w, h, forward=True)<|endoftext|>"
635,<|endoftext|>format string with dict `{'5': 'you'}` with integer keys: 'hello there %(5)s' % {'5': 'you'}<|endoftext|>
636,"<|endoftext|>Convert a string of numbers `example_string` separated by `,` into a list of integers: map(int, example_string.split(','))<|endoftext|>"
637,"<|endoftext|>Convert a string of numbers 'example_string' separated by comma into a list of numbers: [int(s) for s in example_string.split(',')]<|endoftext|>"
638,<|endoftext|>Flatten list `x`: x = [i[0] for i in x]<|endoftext|>
639,"<|endoftext|>convert list `x` into a flat list: y = map(operator.itemgetter(0), x)<|endoftext|>"
640,<|endoftext|>get a list `y` of the first element of every tuple in list `x`: y = [i[0] for i in x]<|endoftext|>
641,<|endoftext|>extract all the values of a specific key named 'values' from a list of dictionaries: results = [item['value'] for item in test_data]<|endoftext|>
642,<|endoftext|>get current datetime in ISO format: datetime.datetime.now().isoformat()<|endoftext|>
643,<|endoftext|>get UTC datetime in ISO format: datetime.datetime.utcnow().isoformat()<|endoftext|>
644,"<|endoftext|>Merge all columns in dataframe `df` into one column: df.apply(' '.join, axis=0)<|endoftext|>"
645,"<|endoftext|>pandas subtract a row from dataframe `df2` from dataframe `df`: pd.DataFrame(df.values - df2.values, columns=df.columns)<|endoftext|>"
646,"<|endoftext|>read file 'myfile.txt' using universal newline mode 'U': print(open('myfile.txt', 'U').read())<|endoftext|>"
647,<|endoftext|>print line `line` from text file with 'utf-16-le' format: print(line.decode('utf-16-le').split())<|endoftext|>
648,"<|endoftext|>open a text file `data.txt` in io module with encoding `utf-16-le`: file = io.open('data.txt', 'r', encoding='utf-16-le')<|endoftext|>"
649,"<|endoftext|>Join data of dataframe `df1` with data in dataframe `df2` based on similar values of column 'user_id' in both dataframes: s1 = pd.merge(df1, df2, how='inner', on=['user_id'])<|endoftext|>"
650,<|endoftext|>check if string `foo` is UTF-8 encoded: foo.decode('utf8').encode('utf8')<|endoftext|>
651,<|endoftext|>get the dimensions of numpy array `a`: a.shape<|endoftext|>
652,<|endoftext|>get the dimensions of numpy array `a`: N.shape(a)<|endoftext|>
653,<|endoftext|>get the dimensions of array `a`: N.shape(a)<|endoftext|>
654,<|endoftext|>get the dimensions of numpy array `a`: a.shape<|endoftext|>
655,"<|endoftext|>get the indices of tuples in list of tuples `L` where the first value is 53: [i for i, v in enumerate(L) if v[0] == 53]<|endoftext|>"
656,"<|endoftext|>convert string of bytes `y\xcc\xa6\xbb` into an int: struct.unpack('<L', 'y\xcc\xa6\xbb')[0]<|endoftext|>"
657,"<|endoftext|>get the first row, second column; second row, first column, and first row third column values of numpy array `arr`: arr[[0, 1, 1], [1, 0, 2]]<|endoftext|>"
658,<|endoftext|>create a list with permutations of string 'abcd': list(powerset('abcd'))<|endoftext|>
659,"<|endoftext|>Convert string to boolean from defined set of strings: s in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh']<|endoftext|>"
660,<|endoftext|>replace special characters in url 'http://spam.com/go/' using the '%xx' escape: urllib.parse.quote('http://spam.com/go/')<|endoftext|>
661,<|endoftext|>Save plot `plt` as svg file 'test.svg': plt.savefig('test.svg')<|endoftext|>
662,<|endoftext|>count the number of elements in array `myArray`: len(myArray)<|endoftext|>
663,"<|endoftext|>insert directory './path/to/your/modules/' to current directory: sys.path.insert(0, './path/to/your/modules/')<|endoftext|>"
665,"<|endoftext|>Insert records in bulk from ""table1"" of ""master"" DB to ""table1"" of  sqlite3 `cursor` object: cursor.execute('INSERT OR REPLACE INTO master.table1 SELECT * FROM table1')<|endoftext|>"
666,"<|endoftext|>Match regex '[a-zA-Z][\\w-]*\\Z' on string 'A\n': re.match('[a-zA-Z][\\w-]*\\Z', 'A\n')<|endoftext|>"
667,"<|endoftext|>match regex '[a-zA-Z][\\w-]*$' on string '!A_B': re.match('[a-zA-Z][\\w-]*$', '!A_B')<|endoftext|>"
668,"<|endoftext|>Convert hex string ""deadbeef"" to integer: int('deadbeef', 16)<|endoftext|>"
669,"<|endoftext|>Convert hex string ""a"" to integer: int('a', 16)<|endoftext|>"
670,"<|endoftext|>Convert hex string ""0xa"" to integer: int('0xa', 16)<|endoftext|>"
671,"<|endoftext|>Convert hex string `s` to integer: int(s, 16)<|endoftext|>"
